input_history,input_question,agent_response,detected_intent,tools_called,is_correct
[],夾具跟穿孔裝哪個比較穩？,根據資料，穿孔固定的穩定性較佳，尤其適合較重或特殊材質的桌面。而夾具則安裝方便，適合較輕或標準桌面。選擇時可根據桌面材質和使用需求來決定。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],螢幕 6 公斤可以用哪款？,"建議您選擇JTCG雙臂氣壓支架Pro（支援至32公斤），適合6公斤的螢幕。您可以參考此款產品的詳細資訊：[點此查看](https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32)。  

這款支架支援24至32吋螢幕，並且設計用於較重的螢幕，能提供穩定的支撐與調整。",product_search,[],
[],氣壓臂張力要怎麼調？,請使用隨附的六角扳手，順時針或逆時針微調氣壓臂上的張力，直到螢幕能穩定停在您常用的高度。建議逐步調整，避免一次轉動過多圈。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],沒有 VESA 孔怎麼裝？,"如果您的螢幕沒有VESA孔，可以考慮使用VESA轉接板或專用配件，如筆電托盤，來進行安裝。在選擇轉接板或配件時，請確認其負重和尺寸符合您的需求。這樣可以確保安全穩固的安裝，達到「Better Desk, Better Focus」的效果。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],家裡有小孩，使用安全要注意什麼？,使用時請避免讓小孩攀爬或懸掛在螢幕臂上，並定期檢查螺絲鎖固狀況。此外，建議加裝保護墊片，避免桌面刮傷。這樣可以確保安全並延長產品壽命。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],壁掛需要什麼牆面條件？,"建議安裝於磚牆或實心牆面；若為石膏板或輕隔間，需使用對應膨脹螺絲或請專業安裝。請先評估牆面承重。  

這是因為不同牆面材質的承重能力不同，磚牆和實心牆較適合壁掛，能提供較穩固的支撐；而石膏板或輕隔間則需要特殊螺絲或專業安裝，以確保安全與穩定。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],要申請 RMA 維修怎麼做？,您好，申請 RMA 維修請備妥訂單編號與故障影片或照片，並在線上表單提交 RMA。客服會在工作日內回覆檢測與處理方式。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],電子發票可以重發嗎？,"電子發票可以在會員中心補發下載。若需更改抬頭或統編，請於下單時填寫，若遺漏請於出貨前聯繫客服協助。  

這是因為我們提供電子發票的補發服務，方便您隨時取得發票資料。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],公司想大量採購可以報價嗎？,"您好，您好，當然可以提供大量採購的專案報價。請提供您的需求數量、安裝地點與時程，以便我們為您進行評估與報價。  

我們可以根據您的需求提供專案報價、到府安裝與教育/企業折扣評估。期待您的詳細資訊！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],退貨流程跟退款時程？,"退貨流程為：線上提出申請 → 包裝回收 → 檢查完成後辦理退款。退款時程約為7到14個工作天，視支付方式與銀行作業時間而定。

這個流程確保您的退貨與退款能順利進行，並且退款時間會依照銀行處理時間而有所不同。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],怎麼查物流追蹤？,您好！我可以協助您。請問您的用戶ID是什麼？,order_info,[],
[],會員點數怎麼用？,會員點數可以在結帳時用來抵用，但不得折換現金。有效期限和使用規則請以會員中心公告為準。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],臂架保養清潔怎麼做？,建議以微濕布擦拭臂架，避免使用含溶劑的清潔劑。定期檢查關節與螺絲是否鬆動，並適度調整。這樣可以保持臂架的良好狀態，延長使用壽命。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],桌深需要多少？牆距要留多少？,一般建議桌深至少60cm，牆距則應保留10-15cm以方便走線和臂架活動。這樣可以確保空間充足，提升使用舒適度。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],走線有什麼整理建議？,走線建議包括沿臂架後側與走線槽固定，預留轉動餘量避免拉扯，並避免轉接器與變壓器懸空以降低受力。這樣可以保持整潔並延長設備壽命。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],贈品沒附到可以補寄嗎？,如果您的贈品未附在包裹中，請在7日內提供開箱照片與訂單資訊，我們將協助補寄。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],VESA 螺絲規格要用多長？,VESA 螺絲通常為 M4，長度多為 10 至 14mm。請以您的螢幕原廠手冊為準，避免螺絲過長壓壞機板。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],能跟電動升降桌一起用嗎？,可以搭配電動升降桌使用，但請留意臂展與走線鬆弛度，避免升降時拉扯線材。建議預留10-15cm的線材餘量，並確保電源變壓器不懸空。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],桌後有擋板，夾具還能裝嗎？,"若桌後有擋板或外翻邊，建議確認夾具的深度與高度是否適合您的桌面。若有干涉，建議改用穿孔固定或加裝延伸固定片。  

這樣可以確保夾具穩固且不影響擋板的使用。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],兩台不同尺寸的螢幕可不可以混搭？,可以混搭不同尺寸的螢幕，但建議兩側的重量相近以保持平衡。使用雙臂時，請調整各臂的張力，讓兩台螢幕都能穩定停駐。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],包裝內有附哪些工具和零件？,包裝內附有臂架本體、夾具/穿孔配件、六角扳手，以及VESA螺絲組（型號依商品而異）。穿孔安裝可能需要自備電鑽與量尺。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],外箱撞到、零件少了怎麼辦？,請立即拍攝外箱與內容物的狀況，並連同訂單編號於7日內回報客服。我們會協助更換缺件或安排售後處理。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],下單後想改地址可以嗎？,未出貨前，您可以聯繫客服協助修改地址。若已進入出貨流程，可能需要取消訂單重新下單，實際狀況以系統為準。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],可以取消訂單嗎？,您好！我可以協助您。請問您的 user_id 是什麼？,order_info,[],
[],預購會分批出貨嗎？,預購商品會依照頁面標示的時程出貨，若同一訂單包含現貨與預購商品，可能會採用分批出貨。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],保固需要另外登錄嗎？可以轉移嗎？,保固通常限原始購買者，不隨轉售轉移。部分商品提供線上保固登錄，請以商品頁或憑證說明為準。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],臂架有異音怎麼處理？,您好，臂架異音若為輕微金屬摩擦聲屬於正常磨合範圍，但若異音明顯，建議檢查螺絲鎖付與走線是否干涉，必要時可於關節轉點施以少量潤滑（請勿沾染面板）。這樣可以幫助減少異音並維持臂架的良好狀態。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],螺絲、轉接板這些備品能單買嗎？,"您好，配件和備品（如螺絲、轉接板）可以在配件館單獨選購。如找不到對應零件，請提供SKU與需求，我們將協助您。  

這是因為我們提供多種常用耗材與備品，方便客戶自行選購或補充。如需進一步協助，請隨時告知！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],如果剛買就降價，會補差嗎？,如果商品在剛購買後降價，我們的價格保護政策可能不適用，因為不同活動檔期可能不提供補差。建議您可以聯繫客服確認您的訂單是否符合補差條件。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],你們會怎麼使用我的 Email？,"您的 Email 僅用於本次服務聯繫與訂單通知，不用於行銷用途。  

我們會用您的 Email 來通知您訂單狀況、缺貨通知、發票寄送，以及客服聯絡等相關服務。  

更多細節請參考我們的隱私權政策。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],我想查訂單狀態,您好！我可以協助您。請問您的 user_id 是什麼？,order_info,[],
[],幫我查一下配送進度,您好！我可以協助您。請問您的 user_id 是什麼？,order_info,[],
[],查訂單 JTCG-202508-10001 的明細,您好！我可以帮您处理相关事宜。请问您的用户编号（user_id）是？,order_info,[],
[],我的 user_id 是 u_123456，想看歷史訂單,"您好，您的歷史訂單如下：
1. JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋） - 2025-08-10
2. JTCG 單臂支架 Lite（至 27 吋） - 2025-07-22

如需詳細資訊，請告知！",order_info,[<ToolName.GET_ORDER_BY_USER: 'get_order_by_user'>],
[],user_id u_999999，查最近那筆訂單,您好，您的最新訂單是JTCG 超寬螢幕重載臂（至 49 吋），於2025年8月12日下單。如需其他協助，請告知！,order_info,[<ToolName.GET_ORDER_BY_USER: 'get_order_by_user'>],
[],我要看訂單列表,您好，我可以協助您。請問您的 user_id 是什麼？,order_info,[],
[],請轉真人，我很急,我可以幫您處理。請問您的電子郵件是什麼？,human_handover,[],
[],在線客服在嗎？,我可以帮您处理这个问题。请问您的电子邮箱是？,human_handover,[],
[],service hours 客服什麼時段有？,我們的線上客服服務時間為週一至週五，09:30 至 18:00（國定假日除外）。若遇尖峰時段，請留下您的Email，我們將盡快回覆您。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],請推薦一款 32 吋可用的單臂,"我推薦您可以考慮JTCG雙臂氣壓支架Pro（支持至32吋），它適合較重的顯示器，並且具有良好的穩定性。您可以在此連結查看詳情：[JTCG 雙臂氣壓支架Pro](https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32)。  

這款支架適合最大32吋的顯示器，並且支援多種VESA標準，能提供良好的調整空間，讓您的工作環境更整潔、更高效。",product_search,[],
[],雙螢幕 + 筆電托盤要怎麼搭配？,建議雙螢幕和筆電托盤搭配時，請確保重量平衡，並確認托盤的負重與尺寸符合您的筆電規格。若螢幕或托盤沒有VESA孔，您可以選擇搭配轉接板或專用托盤配件。這樣可以確保穩定性與兼容性，讓您的工作空間更整潔、更穩固。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],VESA 200x100 能用哪款？,"您好，VESA 200x100 兼容的產品主要支持 VESA 75x75 和 100x100 規格的臂架。部分超寬螢幕可能需要使用強化背板或專用轉接板來適配。建議您確認螢幕背板的VESA規格和重量，以選擇合適的臂架。  

這是因為我們的臂架支援常見的VESA 75x75和100x100規格，對於非標準尺寸，可能需要額外配件來確保穩定與安全。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],我的桌子是玻璃的，怎麼裝比較安全？,建議在玻璃桌面上安裝時，使用墊片或改用穿孔固定方式，以確保安全與穩定。避免直接用夾具夾持玻璃表面，並定期檢查固定狀況。這樣可以有效降低意外滑動或損壞的風險。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],大概多少時間可以安裝完成？,"安裝時間會依據安裝方式和地點而有所不同。若是到府安裝，特定地區合作廠商會提供服務，時間會根據情況而定。建議您先與客服確認您的需求和地點，以獲得更準確的預估時間。  

我們的安裝服務包括必要的工具和配件，若需要穿孔安裝，可能需要額外的工具如電鑽。請提前評估牆面條件，確保安裝順利。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],付款失敗怎麼辦？,如果您的付款失敗，建議您可以檢查以下幾點：確認支付資訊是否正確、信用卡或支付工具是否有餘額或限制，或是網路連線是否穩定。如仍有問題，請聯繫您的銀行或支付平台客服協助解決。若需要進一步協助，也可以提供您的訂單資訊，我們會協助您處理。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],可以改成面交嗎？,抱歉，我無法提供這方面的協助。我主要專注於 JTCG Shop 的服務。我可以協助您進行產品推薦、查詢訂單狀態、回答常見問題，或為您轉接真人客服。,reject_request,[],
[],我想知道活動優惠的使用規則,活動優惠的使用規則包括：每筆訂單限用一張優惠券，且不得與部分專案或企業報價合併使用。活動期間與適用商品以頁面公告為準。如需詳細資訊，請參考我們的公告。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],我需要發票抬頭變更,您好，關於發票抬頭變更，請在下單時備註統編與抬頭。如需事後變更，請聯繫客服協助。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],客服信箱是多少？,您好，我們的客服聯絡段為週一至週五 09:30 – 18:00（國定假日除外）。若遇尖峰時段，請留下您的Email，我們將盡速回覆您。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],退款多久會到帳？,退款約需7至14個工作天，具體時間取決於您的支付方式與銀行作業流程。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],How to track my order?,I can help with that. What is your user_id?,order_info,[],
[],Do you ship internationally?,目前我們主要配送台灣本島，離島/外島運費與時程會在結帳時顯示。海外配送可先透過客服評估可行方案與預估費用。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],Need invoice reissue,I can help with that. What is your user_id?,order_info,[],
[],請問台北有安裝服務嗎？,是的，我們在特定地區提供到府安裝服務，通常由合作廠商執行。請在下單前與客服確認是否支援您的地區。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],JTCG-ARM-DUAL-PRO-32 有現貨嗎？,您好！我可以帮您处理相关事宜。请问您的用户编号（user_id）是？,order_info,[],
[],JTCG-ARM-ULTRAWIDE-49 支援 49 吋曲面嗎？,根據我們的資料，JTCG-ARM-ULTRAWIDE-49 支援 VESA 75×75 和 100×100 規格，並建議搭配強化背板以支援超寬/曲面螢幕。請確認您的49吋曲面螢幕符合這些VESA規格，並注意螢幕的淨重是否在臂架承重範圍內。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],JTCG-WALL-ARM-34 是否含膨脹螺絲？,"JTCG-WALL-ARM-34 不包含膨脹螺絲。  

根據我們的資料，包裝內容物通常包括臂架本體、夾具或穿孔配件、六角扳手以及VESA螺絲組，但未特別提及膨脹螺絲。  

如果您需要膨脹螺絲，建議自行準備或向我們的客服確認是否有相關配件可供購買。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],JTCG-LAPTOP-VESA-KIT 能裝 16 吋筆電嗎？,JTCG-LAPTOP-VESA-KIT 支援 VESA 75 × 75 和 100 × 100 規格，通常適用於大多數筆電托盤或轉接板。請確認您的筆電托盤或轉接板的負重和尺寸範圍，以確保適配。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],JTCG-CABLE-MGMT-KIT 裡面有哪些配件？,"JTCG-CABLE-MGMT-KIT 內含有線管理配件，包括束線帶、夾子或其他相關走線配件。  

這些配件旨在幫助您整理和固定電纜，讓您的工作空間更整潔。  

如果需要更詳細的內容或其他配件資訊，請隨時告知！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],我桌板 20mm，夾具夠嗎？,"根據資料，夾具適用於10至85mm厚的桌板。您的20mm厚桌板在此範圍內，夾具應該是適用的。  

這表示您的夾具可以穩固地固定在20mm厚的桌板上，符合建議範圍，能提供良好的支撐與穩定性。  

如果有特殊材質或其他配件需求，建議再確認夾具的深度與高度是否符合您的桌面特性。  

我們的品牌理念是""Better Desk, Better Focus""，希望您有一個更好的工作空間！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],請問保固範圍包含人為損壞嗎？,保固範圍通常不包含人為損壞。根據我們的資料，非人為損壞的商品可以申請檢測與維修，但人為損壞則不在保固範圍內。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],有企業合作方案嗎？學校採購也適用？,"您好，我們提供企業和學校的大量採購方案，包括專案報價、到府安裝以及教育/企業折扣評估。請提供您的需求數量、安裝地點與時程，以便我們為您提供詳細資訊。  

我們也支持配件與備用零件的單獨購買，您可以在配件館選購常用耗材與備品。如需協助找到特定零件，請提供SKU與需求。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],發票什麼時候寄？可在哪裡下載？,您好，電子發票在出貨完成後會以Email寄送或可於會員中心下載查詢。若需三聯式發票，請於下單時備註統編與抬頭。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],我不確定要買哪款，你可以問我幾個問題幫我選嗎？,您好！為了幫助您選擇合適的產品，請問您主要的用途是什麼？例如：辦公、遊戲、學習或其他？另外，您偏好哪種尺寸或功能？這樣我可以更精確地為您推薦。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],請問可否貨到付款？,"您好，目前JTCG Shop不提供貨到付款的服務。我們主要接受信用卡（VISA / Master / JCB）、Apple Pay、Google Pay和LINE Pay等付款方式。  
這樣可以確保您的購物流程更為便捷與安全。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],LINE Pay 有回饋嗎？,"LINE Pay 目前在我們的支付選項中有提供，但關於是否有回饋，建議您可以直接查看LINE Pay的官方公告或活動頁面，以獲取最新的回饋資訊。  

我們支持多種支付方式，包括LINE Pay，方便您的購物體驗。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],海外退貨流程怎麼辦？,您好，海外退貨流程如下：線上提出申請 → 包裝商品寄回 → 檢查完成後辦理退款。退款約需7至14個工作天，視支付方式與銀行作業時間而定。如需協助，請聯繫客服。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],我想看雙螢幕支架的比較,"以下是幾款雙螢幕支架的比較：

1. [JTCG 雙螢幕氣壓支架 Pro（支持至 32 吋）](https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32)
   - 適用螢幕尺寸：24-32 吋
   - 特點：強化背板，適合較重螢幕
2. [JTCG 單螢幕支架 Lite（至 27 吋）](https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27)
   - 適用螢幕尺寸：至 27 吋
   - 特點：輕巧，適合小型或輕量螢幕
3. [JTCG 超寬螢幕重載支架（至 49 吋）](https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49)
   - 適用螢幕尺寸：34-49 吋
   - 特點：適用超寬螢幕，重型設計
4. [壁掛式升降支架（至 34 吋）](https://example.com/jtcg/p/JTCG-WALL-ARM-34)
   - 適用螢幕尺寸：需壁掛
   - 特點：節省桌面空間
5. [筆電轉VESA轉接套件](https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT)
   - 適用：支持VESA螢幕
6. [桌面走線管理組](https://example.com/jtcg/p/JTCG-CABLE-MGMT-KIT)
   - 功能：整理桌面線路

如果需要更詳細的比較或建議，請告知！",product_search,[],
[],請幫我把客服轉真人（human agent）,我可以協助您。請問您的電子郵件是什麼？,human_handover,[],
[],这款支架支持75×75吗？（简体）,"是的，我们的支架支持75×75的VESA规格。  

这是因为我们的臂架支持常见的VESA 75×75和100×100规格，确保兼容多种显示器。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],退货政策是什么？（简体）,JTCG Shop 提供7天鑑賞期（含例假日），商品需保持全新、完整包裝與配件。非瑕疵退換貨可能需自行負擔來回運費。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],发票怎么开？（简体）,"您好，JTCG Shop 提供电子发票，出货完成后会以Email寄送或在会员中心下载。如需三联式发票，请在下单时备注公司抬头和统一编号。若需要重发或变更抬头，也可以在会员中心操作或联系客户服务协助。  
感谢您的关注！""Better Desk, Better Focus.""",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],有没有49寸显示器支架？（简体）,"我们有适合49寸显示器的超宽显示器支架，型号为JTCG 超宽显示器重载支架（至49寸），详细信息请点击[这里](https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49)。  

这个支架适用于34-49寸超宽显示器，建议确认显示器的重量和VESA接口是否符合支架的规格。  

如果需要其他类型的支架或有更多问题，欢迎随时咨询！  
""Better Desk, Better Focus.""",product_search,[],
[],我要查询订单（简体）,我可以帮您处理这个问题。请问您的用户ID是多少？,order_info,[],
[],請問你們的客服時間？,我們的客服時間為週一至週五 09:30 – 18:00（國定假日除外）。若遇尖峰時段，請留下您的Email，我們將盡快回覆您。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],運費怎麼計算？離島另外加價嗎？,"運費在結帳時會顯示，滿 NT$1,500 免運，離島或外島運費另計。  

我們會在結帳頁面詳細列出運費金額，請您以該頁資訊為準。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],如果螢幕 8 公斤，哪個型號比較適合？,"建議您選擇JTCG \u96d9\u87a2\u5e55\u6c23\u58d3\u81c2 Pro（支援至32吋），適合8公斤螢幕。  
詳情請點擊[此處](https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32)。  

這款支架能承受較重的螢幕，並提供穩定的支撐，讓您的工作空間更整潔、更有助於專注。",product_search,[],
